Title,Published,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
"=HYPERLINK(""https://www.stephenking.com/works/unpublished/aftermath.html"", ""The Aftermath"")",1963-01-01,Unpublished,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/carrie.html"", ""Carrie"")",1974-04-05,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/salems-lot.html"", ""'Salem's Lot"")",1975-10-17,Novel,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/rage.html"", ""Rage"")",1976-12-01,Bachman Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/shining.html"", ""The Shining"")",1977-01-01,Novel,,Yes,Yes,Yes,Yes,Yes,Yes
"=HYPERLINK(""https://www.stephenking.com/works/anthology/tales-of-unknown-horror.html"", ""Tales of Unknown Horror"")",1977-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",1977-12-01,Story Collection,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/short/battleground.html"", ""Battleground"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/boogeyman.html"", ""The Boogeyman"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/children-of-the-corn.html"", ""Children of the Corn"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/graveyard-shift.html"", ""Graveyard Shift"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/grey-matter.html"", ""Grey Matter"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/i-am-the-doorway.html"", ""I Am the Doorway"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/i-know-what-you-need.html"", ""I Know What You Need"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/jerusalems-lot.html"", ""Jerusalem's Lot"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/last-rung-on-the-ladder.html"", ""The Last Rung on the Ladder"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/lawnmower-man.html"", ""The Lawnmower Man"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/ledge.html"", ""The Ledge"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/man-who-loved-flowers.html"", ""The Man Who Loved Flowers"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/mangler.html"", ""The Mangler"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/night-surf.html"", ""Night Surf"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/one-for-the-road.html"", ""One for the Road"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/quitters-inc.html"", ""Quitters Inc."")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/sometimes-they-come-back.html"", ""Sometimes They Come Back"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/strawberry-spring.html"", ""Strawberry Spring"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/trucks.html"", ""Trucks"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/woman-in-the-room.html"", ""The Woman in the Room"")",1977-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/stand.html"", ""The Stand"")",1978-10-01,Novel,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/best-detective-stories-of-the-year.html"", ""Best Detective Stories of the Year"")",1978-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/more-tales-of-unknown-horror.html"", ""More Tales of Unknown Horror"")",1978-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/nightmares.html"", ""Nightmares"")",1978-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/long-walk.html"", ""The Long Walk"")",1978-12-01,Bachman Novel,,,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/short/night-of-the-tiger.html"", ""The Night of the Tiger"")",1978-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/anthology/more-tales-of-unknown-horror.html"", ""More Tales of Unknown Horror"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/dead-zone.html"", ""The Dead Zone"")",1979-08-01,Novel,,Yes,Yes,,,Yes,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/21st-pan-book-of-horror-stories.html"", ""The 21st Pan Book of Horror Stories"")",1979-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/new-tales-of-the-cthulhu-mythos.html"", ""New Tales of the Cthulhu Mythos"")",1979-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/tales-of-the-dead.html"", ""Tales of the Dead"")",1979-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/firestarter.html"", ""Firestarter"")",1979-12-01,Limited Edition,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-forces.html"", ""Dark Forces"")",1980-08-01,Anthology,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-treasury-of-horror-the-supernatural.html"", ""Arbor House Treasury of Horror & the Supernatural"")",1980-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/fantasy-annual-iv.html"", ""Fantasy Annual IV"")",1980-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/shadows.html"", ""Shadows"")",1980-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/years-best-horror-stories-series-ix.html"", ""Year's Best Horror Stories - Series IX"")",1980-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/danse-macabre.html"", ""Danse Macabre"")",1980-12-01,Limited Edition,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/roadwork.html"", ""Roadwork"")",1980-12-01,Bachman Novel,,,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/short/crate.html"", ""The Crate"")",1980-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-treasury-of-horror-the-supernatural.html"", ""Arbor House Treasury of Horror & the Supernatural"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/fantasy-annual-iii.html"", ""Fantasy Annual III"")",1981-04-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/modern-masters-of-horror.html"", ""Modern Masters of Horror"")",1981-07-01,Anthology,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/horrors.html"", ""Horrors"")",1981-08-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/cujo.html"", ""Cujo"")",1981-09-01,Limited Edition,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/a-fantasy-reader-the-seventh-world-fantasy-convention-book.html"", ""A Fantasy Reader: The Seventh World Fantasy Convention Book"")",1981-10-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-necropolis.html"", ""Arbor House Necropolis"")",1981-10-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/arbor-house-celebrity-book-of-horror-stories.html"", ""Arbor House Celebrity Book of Horror Stories"")",1981-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/death.html"", ""Death"")",1981-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/do-it-yourself-bestseller-a-workbook.html"", ""The Do-It-Yourself Bestseller: A Workbook"")",1981-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/terrors.html"", ""Terrors"")",1981-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-the-gunslinger.html"", ""The Dark Tower: The Gunslinger"")",1981-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/running-man.html"", ""The Running Man"")",1981-12-01,Bachman Novel,,,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/unpublished/cannibals.html"", ""The Cannibals"")",1981-12-01,Unpublished,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/collection/different-seasons.html"", ""Different Seasons"")",1982-08-01,Story Collection,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/apt-pupil.html"", ""Apt Pupil"")",1982-08-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/different-seasons.html"", ""Different Seasons"")",,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/body.html"", ""The Body"")",1982-08-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/different-seasons.html"", ""Different Seasons"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/breathing-method.html"", ""The Breathing Method"")",1982-08-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/different-seasons.html"", ""Different Seasons"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/rita-hayworth-and-shawshank-redemption.html"", ""Rita Hayworth and Shawshank Redemption"")",1982-08-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/different-seasons.html"", ""Different Seasons"")",,Yes,,,,
