Read,Owned,Published,Title,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
,,1963-01-01,"=HYPERLINK(""https://www.stephenking.com/works/unpublished/aftermath.html"", ""The Aftermath"")",Unpublished,,,,,,,
,,1974-04-05,"=HYPERLINK(""https://www.stephenking.com/works/novel/carrie.html"", ""Carrie"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/carrie.html"", ""Carrie(Movie)"")",✓,✓,✓,✓,✓,
,,1975-10-17,"=HYPERLINK(""https://www.stephenking.com/works/novel/salems-lot.html"", ""'Salem's Lot"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/television/salems-lot.html"", ""'Salem's Lot(Television)"")",✓,✓,,✓,✓,
,,1976-12-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/rage.html"", ""Rage"")",Bachman Novel,,✓,✓,,,,
,,1977-01-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/shining.html"", ""The Shining"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/shining.html"", ""The Shining(Movie)"")",✓,✓,✓,✓,✓,✓
,,1977-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/tales-of-unknown-horror.html"", ""Tales of Unknown Horror"")",Anthology,,,✓,,,,
,,1977-12-01,"=HYPERLINK(""https://www.stephenking.com/works/collection/night-shift.html"", ""Night Shift"")",Story Collection,"=HYPERLINK(""https://www.stephenking.com/works/movie/children-of-the-corn.html"", ""Children of the Corn(Movie)"")",✓,✓,✓,✓,✓,
,,1977-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/battleground.html"", ""Battleground"")",Short Story,,,,,,,
,,1977-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/boogeyman.html"", ""The Boogeyman"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/movie/boogeyman.html"", ""The Boogeyman(Movie)"")",,,,,✓,
,,1977-12-01,"=HYPERLINK(""https://www.stephenking.com/works/short/children-of-the-corn.html"", ""Children of the Corn"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/movie/children-of-the-corn.html"", ""Children of the Corn(Movie)"")",,,,,✓,
