Title,Published,Type
Unknown,November 11th, 2005,Type
Unknown,,
Unknown,November 11th, 2005,Type
Unknown,November 11th, 2005,Novel
Unknown,,
Unknown,,
Unknown,November 11th, 2005,
Unknown,,
Unknown,,
Unknown,October 2004,
Unknown,,
Unknown,,
Unknown,December 2014,
Unknown,,
Unknown,,
Unknown,October 17th, 1975,
Unknown,,
Unknown,,
Unknown,November 8th, 2011,
Unknown,,
Unknown,,
Unknown,March 2002,
Unknown,,
Unknown,,
Unknown,November 2010,
Unknown,,
Unknown,,
Unknown,December 1979,
Unknown,,
Unknown,,
Unknown,March 2009,
Unknown,,
Unknown,,
Unknown,September 2011,
Unknown,,
Unknown,,
Unknown,December 2003,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,October 1981,
Unknown,,
Unknown,,
Unknown,November 2010,
Unknown,,
Unknown,,
Unknown,December 1999,
Unknown,,
Unknown,,
Unknown,December 1999,
Unknown,,
Unknown,,
Unknown,May 1st, 2008,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,1963,
Unknown,,
Unknown,,
Unknown,March 2002,
Unknown,,
Unknown,,
Unknown,April 22nd, 1983,
Unknown,,
Unknown,,
Unknown,March 30th, 1999,
Unknown,,
Unknown,,
Unknown,October 1983,
Unknown,,
Unknown,,
Unknown,May 2024,
Unknown,,
Unknown,,
Unknown,October 1994,
Unknown,,
Unknown,,
Unknown,August 27th, 1982,
Unknown,,
Unknown,,
Unknown,December 1981,
Unknown,,
Unknown,,
Unknown,October 1981,
Unknown,,
Unknown,,
Unknown,December 1980,
Unknown,,
Unknown,,
Unknown,December 2005,
Unknown,,
Unknown,,
Unknown,September 1998,
Unknown,,
Unknown,,
Unknown,March 2002,
Unknown,,
Unknown,,
Unknown,November 2008,
Unknown,,
Unknown,,
Unknown,October 1985,
Unknown,,
Unknown,,
Unknown,November 2015,
Unknown,,
Unknown,,
Unknown,September 22nd, 1998,
Unknown,,
Unknown,,
Unknown,June 1985,
Unknown,,
Unknown,,
Unknown,September 22nd, 1986,
Unknown,,
Unknown,,
Unknown,November 2015,
Unknown,,
Unknown,,
Unknown,December 1977,
Unknown,,
Unknown,,
Unknown,November 2015,
Unknown,,
Unknown,,
Unknown,June 1985,
Unknown,,
Unknown,,
Unknown,,
Unknown,Best American Sports Writing, 1991,
Unknown,,
Unknown,December 1990,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,,
Unknown,December 1978,
Unknown,,
Unknown,,
Unknown,December 2008,
Unknown,,
Unknown,,
Unknown,November 2010,
Unknown,,
Unknown,,
Unknown,June 1985,
Unknown,,
Unknown,,
Unknown,August 3rd, 2021,
Unknown,,
Unknown,,
Unknown,September 15th, 2001,
Unknown,,
Unknown,,
Unknown,December 2001,
Unknown,,
Unknown,,
Unknown,December 1983,
Unknown,,
Unknown,,
Unknown,December 2006,
Unknown,,
Unknown,,
Unknown,October 1994,
Unknown,,
Unknown,,
Unknown,December 2009,
Unknown,,
Unknown,,
