Title,Published,Type,Collection,Link
The Aftermath,1963,Unpublished,,https://www.stephenking.com/works/unpublished/aftermath.html
Fantasy Annual III,April 1981,Anthology,,https://www.stephenking.com/works/anthology/fantasy-annual-iii.html
Cycle of the Werewolf,April 1985,Novel,,https://www.stephenking.com/works/novel/cycle-of-the-werewolf.html
The Green Mile: The Mouse on the Mile,April 1996,Novel,,https://www.stephenking.com/works/novel/green-mile-the-mouse-on-the-mile.html
The Girl Who Loved Tom Gordon,April 1999,Novel,,https://www.stephenking.com/works/novel/girl-who-loved-tom-gordon.html
The New Lieutenant's Rap,April 1999,Limited Edition,,https://www.stephenking.com/works/limited/new-lieutenants-rap.html
The Dark Man,April 2004,Poem,,https://www.stephenking.com/works/poem/dark-man.html
The Devil's Wine,April 2004,Anthology,,https://www.stephenking.com/works/anthology/devils-wine.html
Donovan's Brain,April 2004,Poem,,https://www.stephenking.com/works/poem/donovans-brain.html
The Hardcase Speaks,April 2004,Poem,,https://www.stephenking.com/works/poem/hardcase-speaks.html
Harrison State Park '68,April 2004,Poem,,https://www.stephenking.com/works/poem/harrison-state-park-68.html
In the Key-Chords of Dawn,April 2004,Poem,,https://www.stephenking.com/works/poem/in-the-key-chords-of-dawn.html
Silence,April 2004,Poem,,https://www.stephenking.com/works/poem/silence.html
Stephen King Goes to the Movies,April 2009,Limited Edition,,https://www.stephenking.com/works/limited/stephen-king-goes-to-the-movies.html
SCREEM #22,April 2011,Interview,,https://www.stephenking.com/works/interview/screem-22.html
The Dark Tower: The Wind Through the Keyhole,April 2012,Novel,,https://www.stephenking.com/works/novel/dark-tower-the-wind-through-the-keyhole.html
If It Bleeds,April 2020,Story Collection,,https://www.stephenking.com/works/collection/if-it-bleeds.html
Blockade Billy,"April 20th, 2010",Novella,,https://www.stephenking.com/works/novella/blockade-billy.html
If It Bleeds,"April 21st, 2020",Novella,,https://www.stephenking.com/works/novella/if-it-bleeds.html
The Life of Chuck,"April 21st, 2020",Novella,,https://www.stephenking.com/works/novella/life-of-chuck.html
Mr. Harrigan's Phone,"April 21st, 2020",Novella,,https://www.stephenking.com/works/novella/mr-harrigans-phone.html
Rat,"April 21st, 2020",Novella,,https://www.stephenking.com/works/novella/rat.html
An Evening at the Billerica (Massachusetts) Library,"April 22nd, 1983",Speech,,https://www.stephenking.com/works/speech/an-evening-at-the-billerica-(massachusetts)-library.html
Christine,"April 29th, 1983",Novel,,https://www.stephenking.com/works/novel/christine.html
Carrie,"April 5th, 1974",Novel,,https://www.stephenking.com/works/novel/carrie.html
The Dead Zone,August 1979,Novel,,https://www.stephenking.com/works/novel/dead-zone.html
Dark Forces,August 1980,Anthology,,https://www.stephenking.com/works/anthology/dark-forces.html
Horrors,August 1981,Anthology,,https://www.stephenking.com/works/anthology/horrors.html
Different Seasons,August 1982,Story Collection,,https://www.stephenking.com/works/collection/different-seasons.html
The Dark Tower: The Waste Lands,August 1991,Novel,,https://www.stephenking.com/works/novel/dark-tower-the-waste-lands.html
Dark Love,August 1996,Anthology,,https://www.stephenking.com/works/anthology/dark-love.html
The Green Mile: Coffey on the Mile,August 1996,Novel,,https://www.stephenking.com/works/novel/green-mile-coffey-on-the-mile.html
Apt Pupil,"August 27th, 1982",Novella,,https://www.stephenking.com/works/novella/apt-pupil.html
The Body,"August 27th, 1982",Novella,,https://www.stephenking.com/works/novella/body.html
The Breathing Method,"August 27th, 1982",Novella,,https://www.stephenking.com/works/novella/breathing-method.html
Rita Hayworth and Shawshank Redemption,"August 27th, 1982",Novella,,https://www.stephenking.com/works/novella/rita-hayworth-and-shawshank-redemption.html
The Mist,"August 29th, 1980",Novella,,https://www.stephenking.com/works/novella/mist.html
Billy Summers,"August 3rd, 2021",Novel,,https://www.stephenking.com/works/novel/billy-summers.html
Rage,December 1976,Bachman Novel,,https://www.stephenking.com/works/novel/rage.html
Battleground,December 1977,Short Story,,https://www.stephenking.com/works/short/battleground.html
The Boogeyman,December 1977,Short Story,,https://www.stephenking.com/works/short/boogeyman.html
Children of the Corn,December 1977,Short Story,,https://www.stephenking.com/works/short/children-of-the-corn.html
Graveyard Shift,December 1977,Short Story,,https://www.stephenking.com/works/short/graveyard-shift.html
Grey Matter,December 1977,Short Story,,https://www.stephenking.com/works/short/grey-matter.html
I Am the Doorway,December 1977,Short Story,,https://www.stephenking.com/works/short/i-am-the-doorway.html
I Know What You Need,December 1977,Short Story,,https://www.stephenking.com/works/short/i-know-what-you-need.html
Jerusalem's Lot,December 1977,Short Story,,https://www.stephenking.com/works/short/jerusalems-lot.html
The Last Rung on the Ladder,December 1977,Short Story,,https://www.stephenking.com/works/short/last-rung-on-the-ladder.html
The Lawnmower Man,December 1977,Short Story,,https://www.stephenking.com/works/short/lawnmower-man.html
The Ledge,December 1977,Short Story,,https://www.stephenking.com/works/short/ledge.html
The Man Who Loved Flowers,December 1977,Short Story,,https://www.stephenking.com/works/short/man-who-loved-flowers.html
The Mangler,December 1977,Short Story,,https://www.stephenking.com/works/short/mangler.html
Night Shift,December 1977,Story Collection,,https://www.stephenking.com/works/collection/night-shift.html
Night Surf,December 1977,Short Story,,https://www.stephenking.com/works/short/night-surf.html
One for the Road,December 1977,Short Story,,https://www.stephenking.com/works/short/one-for-the-road.html
Quitters Inc.,December 1977,Short Story,,https://www.stephenking.com/works/short/quitters-inc.html
Sometimes They Come Back,December 1977,Short Story,,https://www.stephenking.com/works/short/sometimes-they-come-back.html
Strawberry Spring,December 1977,Short Story,,https://www.stephenking.com/works/short/strawberry-spring.html
Tales of Unknown Horror,December 1977,Anthology,,https://www.stephenking.com/works/anthology/tales-of-unknown-horror.html
Trucks,December 1977,Short Story,,https://www.stephenking.com/works/short/trucks.html
The Woman in the Room,December 1977,Short Story,,https://www.stephenking.com/works/short/woman-in-the-room.html
Best Detective Stories of the Year,December 1978,Anthology,,https://www.stephenking.com/works/anthology/best-detective-stories-of-the-year.html
The Long Walk,December 1978,Bachman Novel,,https://www.stephenking.com/works/novel/long-walk.html
More Tales of Unknown Horror,December 1978,Anthology,,https://www.stephenking.com/works/anthology/more-tales-of-unknown-horror.html
The Night of the Tiger,December 1978,Short Story,,https://www.stephenking.com/works/short/night-of-the-tiger.html
Nightmares,December 1978,Anthology,,https://www.stephenking.com/works/anthology/nightmares.html
The 21st Pan Book of Horror Stories,December 1979,Anthology,,https://www.stephenking.com/works/anthology/21st-pan-book-of-horror-stories.html
